Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
1546.836248,X1-1,X2-1,X3-1,X4-1,X5-1,0.025285945,50,48,105,3,2,0.45,8,1600,8,0.8
1261.722593,X1-1,X2-1,X3-1,X4-1,X5-1,0.034876121,67,34,105,3,2,0.45,8,1600,10,0.8
860.8532748,X1-1,X2-1,X3-1,X4-1,X5-1,0.079236967,176,187,200,8,6,0.75,8,216,10,0.8
887.3563494,X1-1,X2-1,X3-1,X4-1,X5-1,0.113287975,176,187,200,8,6,0.75,8,216,10,0.8
895.059756,X1-1,X2-1,X3-1,X4-1,X5-1,0.113777929,176,187,200,8,6,0.75,8,216,10,0.8
892.226949,X1-1,X2-1,X3-1,X4-1,X5-1,0.114021425,176,187,200,8,6,0.75,8,216,10,0.8
877.0187489,X1-1,X2-1,X3-1,X4-1,X5-1,0.116497659,176,187,200,8,6,0.75,8,216,10,0.8
873.100288,X1-1,X2-1,X3-1,X4-1,X5-1,0.132007859,176,187,105,8,6,0.75,8,216,10,0.8
885.5675751,X1-1,X2-1,X3-1,X4-1,X5-1,0.140517005,176,187,200,8,6,0.75,8,216,10,0.8
893.0680585,X1-1,X2-1,X3-1,X4-1,X5-1,0.141805394,176,187,200,8,6,0.75,8,216,10,0.8
895.3401559,X1-1,X2-1,X3-1,X4-1,X5-1,0.142473883,176,187,200,8,6,0.75,8,216,10,0.8
892.4452077,X1-1,X2-1,X3-1,X4-1,X5-1,0.14252362,176,187,200,8,6,0.75,8,216,10,0.8
887.982732,X1-1,X2-1,X3-1,X4-1,X5-1,0.143739669,176,187,200,8,6,0.75,8,216,10,0.8
893.3435765,X1-1,X2-1,X3-1,X4-1,X5-1,0.175814291,176,187,200,8,6,0.75,8,216,10,0.8
894.317106,X1-1,X2-1,X3-1,X4-1,X5-1,0.19751538,176,187,200,8,6,0.75,8,216,10,0.8
889.5272079,X1-1,X2-1,X3-1,X4-1,X5-1,0.202310143,176,187,200,8,6,0.75,8,216,10,0.8
1420.580887,X1-1,X2-2,X3-1,X4-1,X5-1,0.026020846,68,66,125,3,2,0.55,8,1600,10,0.7
1415.664635,X1-1,X2-2,X3-1,X4-1,X5-1,0.026773041,68,66,125,3,2,0.55,8,1600,10,0.7
1406.034728,X1-1,X2-2,X3-1,X4-1,X5-1,0.026804157,68,66,125,3,2,0.55,8,1600,10,0.7
1406.863954,X1-1,X2-2,X3-1,X4-1,X5-1,0.026946438,68,66,125,3,2,0.55,8,1600,10,0.7
1378.523104,X1-1,X2-2,X3-1,X4-1,X5-1,0.033380405,54,66,125,3,2,0.55,8,1600,10,0.7
1386.801851,X1-1,X2-2,X3-1,X4-1,X5-1,0.033685856,54,66,125,3,2,0.55,8,1600,10,0.7
1373.849457,X1-1,X2-2,X3-1,X4-1,X5-1,0.03373533,54,66,125,3,2,0.55,8,1600,10,0.7
1454.337728,X1-1,X2-2,X3-1,X4-1,X5-1,0.033885634,54,66,125,3,2,0.55,8,1600,10,0.7
1388.965296,X1-1,X2-2,X3-1,X4-1,X5-1,0.03412881,54,66,125,3,2,0.55,8,1600,10,0.7
1376.202408,X1-1,X2-2,X3-1,X4-1,X5-1,0.03414732,54,66,125,3,2,0.55,8,1600,10,0.7
1431.984254,X1-1,X2-2,X3-1,X4-1,X5-1,0.034158832,54,66,125,3,2,0.55,8,1600,10,0.7
1439.969003,X1-1,X2-2,X3-1,X4-1,X5-1,0.034231894,54,66,125,3,2,0.55,8,1600,10,0.7
1346.971602,X1-1,X2-2,X3-1,X4-1,X5-1,0.034254367,54,66,125,3,2,0.55,8,1600,10,0.7
1378.221702,X1-1,X2-2,X3-1,X4-1,X5-1,0.034430905,54,66,125,3,2,0.55,8,1600,10,0.7
1380.104658,X1-1,X2-2,X3-1,X4-1,X5-1,0.034449972,54,66,125,3,2,0.55,8,1600,10,0.7
1402.534837,X1-1,X2-2,X3-1,X4-1,X5-1,0.03449757,54,66,125,3,2,0.55,8,1600,10,0.7
1383.347807,X1-1,X2-2,X3-1,X4-1,X5-1,0.034527014,54,66,125,3,2,0.55,8,1600,10,0.7
1387.716589,X1-1,X2-2,X3-1,X4-1,X5-1,0.034609541,54,66,125,3,2,0.55,8,1600,10,0.7
1360.416272,X1-1,X2-2,X3-1,X4-1,X5-1,0.034705247,54,66,125,3,2,0.55,8,1600,10,0.7
1364.875555,X1-1,X2-2,X3-1,X4-1,X5-1,0.034808671,54,66,125,3,2,0.55,8,1600,10,0.7
1380.107545,X1-1,X2-2,X3-1,X4-1,X5-1,0.03482715,54,66,125,3,2,0.55,8,1600,10,0.7
1399.936974,X1-1,X2-2,X3-1,X4-1,X5-1,0.035133665,54,66,125,3,2,0.55,8,1600,10,0.7
1444.152554,X1-1,X2-2,X3-1,X4-1,X5-1,0.035140395,54,66,125,3,2,0.55,8,1600,10,0.7
1392.016935,X1-1,X2-2,X3-1,X4-1,X5-1,0.035146488,54,66,125,3,2,0.55,8,1600,10,0.7
1389.360725,X1-1,X2-2,X3-1,X4-1,X5-1,0.035284206,54,66,125,3,2,0.55,8,1600,10,0.7
1383.479422,X1-1,X2-2,X3-1,X4-1,X5-1,0.035286202,54,66,125,3,2,0.55,8,1600,10,0.7
1387.409514,X1-1,X2-2,X3-1,X4-1,X5-1,0.035319519,54,66,125,3,2,0.55,8,1600,10,0.7
1381.153733,X1-1,X2-2,X3-1,X4-1,X5-1,0.035347635,54,66,125,3,2,0.55,8,1600,10,0.7
1384.510756,X1-1,X2-2,X3-1,X4-1,X5-1,0.035405202,54,66,125,3,2,0.55,8,1600,10,0.7
1378.809881,X1-1,X2-2,X3-1,X4-1,X5-1,0.035517246,54,66,125,3,2,0.55,8,1600,10,0.7
1371.568933,X1-1,X2-2,X3-1,X4-1,X5-1,0.035752634,54,66,125,3,2,0.55,8,1600,10,0.7
1383.278151,X1-1,X2-2,X3-1,X4-1,X5-1,0.036095507,54,66,125,3,2,0.55,8,1600,10,0.7
1374.29172,X1-1,X2-2,X3-1,X4-1,X5-1,0.036172288,54,66,125,3,2,0.55,8,1600,10,0.7
1330.752012,X1-1,X2-2,X3-1,X4-1,X5-1,0.036246157,54,66,125,3,2,0.55,8,1600,10,0.7
1383.70032,X1-1,X2-2,X3-1,X4-1,X5-1,0.036773183,54,66,125,3,2,0.55,8,1600,10,0.7
1388.591076,X1-1,X2-2,X3-1,X4-1,X5-1,0.037572613,54,66,125,3,2,0.55,8,1600,10,0.7
1370.067759,X1-1,X2-2,X3-1,X4-1,X5-1,0.037618695,54,66,125,3,2,0.55,8,1600,10,0.7
1348.717994,X1-1,X2-2,X3-1,X4-1,X5-1,0.037638209,54,66,125,3,2,0.55,8,1600,10,0.7
1426.506715,X1-1,X2-2,X3-1,X4-1,X5-1,0.038092232,68,66,125,3,2,0.55,8,1600,10,0.7
1421.471079,X1-1,X2-2,X3-1,X4-1,X5-1,0.038345353,68,66,125,3,2,0.55,8,1600,10,0.7
1371.831425,X1-1,X2-2,X3-1,X4-1,X5-1,0.03899441,54,66,125,3,2,0.55,8,1600,10,0.7
1382.528279,X1-1,X2-2,X3-1,X4-1,X5-1,0.039820114,54,66,125,3,2,0.55,8,1600,10,0.7
1380.628658,X1-1,X2-2,X3-1,X4-1,X5-1,0.039968688,68,66,125,3,2,0.55,8,1600,10,0.7
1360.713217,X1-1,X2-2,X3-1,X4-1,X5-1,0.040055655,54,66,125,3,2,0.55,8,1600,10,0.7
1380.092456,X1-1,X2-2,X3-1,X4-1,X5-1,0.042559482,54,66,125,3,2,0.55,8,1600,10,0.7
1386.261228,X1-1,X2-2,X3-1,X4-1,X5-1,0.042719172,54,66,125,3,2,0.55,8,1600,10,0.7
1373.231083,X1-1,X2-2,X3-1,X4-1,X5-1,0.042843984,54,66,125,3,2,0.55,8,1600,10,0.7
